ProductName,ProductBrand,Gender,Price (INR),Description,PrimaryColor,JenisPakaian
Pepe Jeans Boys Yellow & Blue MAGNUS LS IP Regular Fit Checked Casual Shirt,Pepe Jeans,Boys,749,"Yellow and Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Pepe Jeans Boys White & Blue Regular Fit Striped Casual Shirt,Pepe Jeans,Boys,649,"White and Blue striped casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Jompers Men Orange Woven Design Straight Kurta,Jompers,Men,884,"Orange woven design straight kurta, has a mandarin collar, long sleeves, straight hem, and multiple slits",Orange,Kurta
Pepe Jeans Boys Red Printed PARKER SS IP Round Neck T-shirt,Pepe Jeans,Boys,299,"Red printed T-shirt, has a round neck, and short sleeves",Red,Shirt
Flying Machine Men Navy Blue Super Slim Fit Solid Regular Trousers,Flying Machine,Men,999,"Navy Blue solid mid-rise trousers, button closure, and 4 pockets",Blue,Trousers
Flying Machine Men Rust & Navy Blue Regular Fit Checked Casual Shirt,Flying Machine,Men,799,"Rust and Navy Blue checked casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Pepe Jeans Boys Blue Washed DAVIN LS IP Regular Fit Casual Chambray Shirt,Pepe Jeans,Boys,849,"Blue washed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 2 flap pockets",Blue,Shirt
Flying Machine Men Red & Navy Blue Regular Fit Checked Casual Shirt,Flying Machine,Men,759,"Red and Navy Blue checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Pepe Jeans Girls Grey Skinny Fit High-Rise Light Fade Stretchable Jeans,Pepe Jeans,Girls,1299,"  Medium light fade grey jeans   Skinny fit,  high-rise   Clean look   Stretchable   5 pocket   Length: regular  ",Grey,Jeans
Puma Men Red Textured 19.1 Bowling Shoes,Puma,Men,8999,"Design details:A pair of round-toe red sneakers, has regular styling, lace-up detailSynthetic upperNew lightweight upper construction provides superb support for multi-directional movements.Rubberized and reinforced toe area creates enhanced durability.Slip-on upper construction combined with the stability strap provide a snug fit and superior lock-down feelingLightweight EVA midsole ensures optimal cushioning, and together with the high performance outsole, provides superior stability and traction.Cushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturerAbout The Shoes:The newly engineered PUMA Bowling 19.1 is made for top performance Cricket athletes",Red,Top
Pepe Jeans Boys Navy Blue Pure Cotton Solid Chambray Casual Shirt,Pepe Jeans,Boys,849,"Navy blue solid chambray casual shirt, has a spread collar, button placket, 2 flap pockets, long regular sleeves, curved hem",Blue,Shirt
Pepe Jeans Boys Navy Blue & Red Brand Logo Print Polo Collar T-shirt,Pepe Jeans,Boys,524,"Navy Blue and red brand logo print T-shirt, has a polo collar, button closures and short sleeves",Blue,Shirt
Pepe Jeans Boys White & Blue Regular Fit Colourblocked Casual Shirt,Pepe Jeans,Boys,749,"White and Blue colourblocked casual shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue,Shirt
Wish Karo Girls Burgundy Fit and Flare Silk Dress,Wish Karo,Girls,779,"Burgundy solid knitted fit and flare dress, has a round neck, sleeveless, zip closure, an attached lining, and flared hem",Burgundy,Dress
Pepe Jeans Boys Blue Camouflage Printed Slim Fit Light Fade Stretchable Jeans,Pepe Jeans,Boys,849,"Blue comouflage printed dark wash jeans With side stripes, clean look, light fade, and has a button fly closure",Blue,Jeans
DEYANN Men Navy Blue & White Printed Kurta with Churidar,DEYANN,Men,1377,"Navy Blue and white printed kurta with churidarNavy Blue and white straight knee length kurta, has a mandarin collar, long sleeves, straight hemWhite solid churidar, drawstring closure",Blue,Kurta
Pepe Jeans Boys Olive Green Mid-Rise Cargo Shorts,Pepe Jeans,Boys,749,"Olive green solid mid-rise cargo shorts, has 6 pockets, drawstring closure",Green,Jeans
Pepe Jeans Boys Blue William Cashed Jogger Mid-Rise Clean Look Stretchable Jeans,Pepe Jeans,Boys,949,"Blue medium wash 4-pocket mid-rise jeans, clean look, heavy fade, and has a drawstring closure",Blue,Jeans
Plum Green Tea Mattifying Moisturiser & All-Day-Wear Kohl Kajal with Sharpner,Plum,Women,772,"What it isNaturStudio All-Day-Wear Kohl KajalComes with a sharpnerShade nameBlackWhat it doesNaturStudio All-Day-Wear Kohl Kajal is safe for use as a liner and as a kohl-kajalGo ahead, create looks to your heart's contentWaterproof and smudge-free formulaIngredientsHydrogenated Castor OilRice Bran WaxNatural Vitamin EWhat it isGreen tea mattifying moisturiserSuitable for which skin typeOily skinWhat it doesGives matte finishAcne combatGives a fresh and clear appearanceControls hydration and prevents oxidative stressParaben, phthalate and SLS-freeIngredientsGreen tea extractsGlycolic acidGlycerin",Green,Suit
Pepe Jeans Boys Red Printed Round Neck T-shirt,Pepe Jeans,Boys,349,"Red printed T-shirt, has a round neck, and short sleeves",Red,Shirt
Peter England Men Blue Checked Slim Fit Formal Shirt,Peter England,Men,884,"Blue checked formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Alcis Men Blue Printed Round Neck Training T-shirt,Alcis,Men,479,"Blue printed training T-shirt, has a round neck, and sleevelessEngineered with Antistatix, Drytech+ and Stretch X technologies",Blue,Shirt
Genius18 Men White & Black Printed Round Neck T-shirt,Genius18,Men,499,"White and black printed T-shirt, has a round neck, short sleeves",Black,Shirt
Flying Machine Men Burgundy & Beige Regular Fit Checked Casual Shirt,Flying Machine,Men,1299,"Burgundy and Beige checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket",Beige,Shirt
